,JJ Width (top electrode),X-Coordinate,Y-Coordinate,Conductance (2W) [uS]
625,52,,,
626,60,-25.02,21.475,
627,68,-24.52,21.475,
628,76,-24.02,21.475,
629,84,-23.52,21.475,
630,92,,,
631,100,,,
632,108,-24.52,20.975,
633,116,-24.02,20.975,
634,124,-23.52,20.975,
635,132,-25.52,20.475,
636,140,-25.02,20.475,
637,148,-24.52,20.475,
638,156,-24.02,20.475,
639,164,-23.52,20.475,
640,172,-25.52,19.975,
641,180,,,
642,188,-24.52,19.975,
643,196,-24.02,19.975,
644,204,,,
645,212,-25.52,19.475,
646,220,-25.02,19.475,
647,228,-24.52,19.475,
648,236,-24.02,19.475,
649,244,-23.52,19.475,
650,52,-23.02,21.475,
651,60,-22.52,21.475,
652,68,-22.02,21.475,
653,76,-21.52,21.475,
654,84,-21.02,21.475,
655,92,,,
656,100,-22.52,20.975,
657,108,,,
658,116,-21.52,20.975,
659,124,,,
660,132,-23.02,20.475,
661,140,,,
662,148,-22.02,20.475,
663,156,-21.52,20.475,
664,164,-21.02,20.475,
665,172,-23.02,19.975,
666,180,-22.52,19.975,
667,188,-22.02,19.975,
668,196,-21.52,19.975,
669,204,-21.02,19.975,
670,212,-23.02,19.475,
671,220,-22.52,19.475,
672,228,,,
673,236,-21.52,19.475,
674,244,-21.02,19.475,
675,52,-20.52,21.475,41.0920657
676,60,-20.02,21.475,38.9779903
677,68,-19.52,21.475,49.6895494
678,76,-19.02,21.475,58.213819
679,84,-18.52,21.475,53.083943
680,92,-20.52,20.975,84.9994699
681,100,,,
682,108,-19.52,20.975,94.9096149
683,116,-19.02,20.975,95.1729298
684,124,-18.52,20.975,97.3662733
685,132,-20.52,20.475,117.688857
686,140,-20.02,20.475,109.573923
687,148,-19.52,20.475,116.563381
688,156,-19.02,20.475,57.465089
689,164,-18.52,20.475,9.9E+40
690,172,-20.52,19.975,136.039392
691,180,-20.02,19.975,162.674435
692,188,-19.52,19.975,188.159009
693,196,-19.02,19.975,136.431168
694,204,-18.52,19.975,154.274708
695,212,,,
696,220,-20.02,19.475,187.031539
697,228,-19.52,19.475,220.408093
698,236,-19.02,19.475,210.478614
699,244,,,
700,52,-18.02,21.475,46.6475505
701,60,-17.52,21.475,49.0615847
702,68,-17.02,21.475,39.1347962
703,76,-16.52,21.475,62.6095395
704,84,-16.02,21.475,54.5806723
705,92,-18.02,20.975,94.2336623
706,100,-17.52,20.975,81.1780286
707,108,-17.02,20.975,94.2818082
708,116,-16.52,20.975,115.362605
709,124,,,
710,132,-18.02,20.475,121.568716
711,140,-17.52,20.475,107.40841
712,148,-17.02,20.475,104.56228
713,156,-16.52,20.475,85.077997
714,164,-16.02,20.475,121.419953
715,172,-18.02,19.975,151.169467
716,180,-17.52,19.975,127.229876
717,188,-17.02,19.975,132.922711
718,196,-16.52,19.975,193.820218
719,204,,,
720,212,-18.02,19.475,216.044988
721,220,-17.52,19.475,193.100955
722,228,-17.02,19.475,180.201475
723,236,-16.52,19.475,222.08885
724,244,-16.02,19.475,210.286606
725,52,-15.52,21.475,
726,60,-15.02,21.475,
727,68,-14.52,21.475,
728,76,-14.02,21.475,
729,84,,,
730,92,-15.52,20.975,
731,100,,,
732,108,-14.52,20.975,
733,116,,,
734,124,,,
735,132,-15.52,20.475,
736,140,-15.02,20.475,
737,148,-14.52,20.475,
738,156,-14.02,20.475,
739,164,-13.52,20.475,
740,172,-15.52,19.975,
741,180,,,
742,188,-14.52,19.975,
743,196,-14.02,19.975,
744,204,-13.52,19.975,
745,212,,,
746,220,-15.02,19.475,
747,228,-14.52,19.475,
748,236,,,
749,244,-13.52,19.475,
750,52,-25.52,18.975,47.7261181
751,60,-25.02,18.975,20.2958806
752,68,-24.52,18.975,34.0740026
753,76,-24.02,18.975,79.9951127
754,84,-23.52,18.975,9.9E+40
755,92,-25.52,18.475,86.527362
756,100,-25.02,18.475,66.6911022
757,108,,,
758,116,-24.02,18.475,89.4404936
759,124,-23.52,18.475,87.6470957
760,132,-25.52,17.975,127.436621
761,140,-25.02,17.975,114.682986
762,148,-24.52,17.975,109.717999
763,156,,,
764,164,-23.52,17.975,125.553757
765,172,-25.52,17.475,148.635442
766,180,-25.02,17.475,128.796099
767,188,-24.52,17.475,136.893395
768,196,-24.02,17.475,167.721569
769,204,-23.52,17.475,153.662629
770,212,-25.52,16.975,208.32041
771,220,,,
772,228,-24.52,16.975,161.091501
773,236,,,
774,244,-23.52,16.975,176.040624
775,52,-23.02,18.975,36.8693279
776,60,-22.52,18.975,49.9914816
777,68,-22.02,18.975,37.0209106
778,76,-21.52,18.975,48.5864381
779,84,-21.02,18.975,65.310509
780,92,-23.02,18.475,87.4059533
781,100,-22.52,18.475,85.1844566
782,108,-22.02,18.475,68.5150902
783,116,-21.52,18.475,71.5748078
784,124,-21.02,18.475,94.6787111
785,132,-23.02,17.975,110.134852
786,140,-22.52,17.975,145.752108
787,148,-22.02,17.975,116.936174
788,156,-21.52,17.975,122.078129
789,164,,,
790,172,-23.02,17.475,128.393813
791,180,-22.52,17.475,160.050337
792,188,-22.02,17.475,158.788656
793,196,-21.52,17.475,165.870828
794,204,-21.02,17.475,164.895665
795,212,-23.02,16.975,161.635066
796,220,-22.52,16.975,199.920745
797,228,-22.02,16.975,148.982358
798,236,-21.52,16.975,206.576976
799,244,-21.02,16.975,258.307761
800,52,-20.52,18.975,43.1204047
801,60,-20.02,18.975,44.0548126
802,68,-19.52,18.975,60.7935322
803,76,-19.02,18.975,72.9045412
804,84,-18.52,18.975,60.2388681
805,92,,,
806,100,-20.02,18.475,74.1295317
807,108,-19.52,18.475,76.7715842
808,116,-19.02,18.475,89.9132275
809,124,-18.52,18.475,103.590632
810,132,-20.52,17.975,115.222684
811,140,-20.02,17.975,112.90126
812,148,-19.52,17.975,119.228291
813,156,-19.02,17.975,128.884272
814,164,,,
815,172,-20.52,17.475,133.860958
816,180,-20.02,17.475,136.842338
817,188,-19.52,17.475,149.338475
818,196,-19.02,17.475,149.657917
819,204,-18.52,17.475,151.195694
820,212,-20.52,16.975,152.753212
821,220,-20.02,16.975,164.267413
822,228,-19.52,16.975,200.174258
823,236,-19.02,16.975,90.0832964
824,244,-18.52,16.975,173.01736
825,52,-18.02,18.975,58.1182209
826,60,,,
827,68,-17.02,18.975,20.1276277
828,76,-16.52,18.975,72.3593883
829,84,-16.02,18.975,56.1554063
830,92,-18.02,18.475,85.9915554
831,100,-17.52,18.475,68.4111235
832,108,-17.02,18.475,72.6715588
833,116,-16.52,18.475,9.9E+40
834,124,-16.02,18.475,87.2508624
835,132,-18.02,17.975,155.392376
836,140,-17.52,17.975,115.193312
837,148,,,
838,156,-16.52,17.975,146.304244
839,164,-16.02,17.975,134.337356
840,172,-18.02,17.475,164.671183
841,180,-17.52,17.475,183.476531
842,188,-17.02,17.475,113.144871
843,196,-16.52,17.475,170.08244
844,204,-16.02,17.475,150.957438
845,212,-18.02,16.975,208.194943
846,220,-17.52,16.975,149.410608
847,228,,,
848,236,-16.52,16.975,124.711145
849,244,-16.02,16.975,194.378133
850,52,-15.52,18.975,
851,60,-15.02,18.975,
852,68,-14.52,18.975,
853,76,-14.02,18.975,
854,84,-13.52,18.975,
855,92,-15.52,18.475,
856,100,,,
857,108,-14.52,18.475,
858,116,,,
859,124,-13.52,18.475,
860,132,-15.52,17.975,
861,140,-15.02,17.975,
862,148,-14.52,17.975,
863,156,-14.02,17.975,
864,164,-13.52,17.975,
865,172,-15.52,17.475,
866,180,,,
867,188,-14.52,17.475,
868,196,,,
869,204,-13.52,17.475,
870,212,-15.52,16.975,
871,220,-15.02,16.975,
872,228,-14.52,16.975,
873,236,-14.02,16.975,
874,244,-13.52,16.975,
875,52,-25.52,16.475,59.9089187
876,60,-25.02,16.475,46.9647023
877,68,-24.52,16.475,41.8291401
878,76,-24.02,16.475,70.5522198
879,84,-23.52,16.475,53.610576
880,92,-25.52,15.975,84.9138844
881,100,,,
882,108,-24.52,15.975,78.3529878
883,116,-24.02,15.975,98.5550148
884,124,-23.52,15.975,81.4239412
885,132,-25.52,15.475,116.216453
886,140,-25.02,15.475,101.863347
887,148,-24.52,15.475,109.823562
888,156,-24.02,15.475,9.9E+40
889,164,-23.52,15.475,129.830855
890,172,-25.52,14.975,155.584895
891,180,-25.02,14.975,140.181457
892,188,-24.52,14.975,142.059827
893,196,-24.02,14.975,178.566539
894,204,-23.52,14.975,164.51336
895,212,-25.52,14.475,203.243608
896,220,-25.02,14.475,158.15958
897,228,-24.52,14.475,158.909468
898,236,-24.02,14.475,102.983251
899,244,-23.52,14.475,178.155462
900,52,-23.02,16.475,42.4915409
901,60,,,
902,68,-22.02,16.475,45.3108406
903,76,-21.52,16.475,50.8165036
904,84,-21.02,16.475,85.3753765
905,92,-23.02,15.975,63.4632752
906,100,-22.52,15.975,82.9980101
907,108,-22.02,15.975,74.3997196
908,116,-21.52,15.975,94.5968213
909,124,-21.02,15.975,97.0188141
910,132,-23.02,15.475,103.823751
911,140,-22.52,15.475,105.426056
912,148,-22.02,15.475,96.2648967
913,156,-21.52,15.475,116.075572
